date,price
01/09/1967,239
01/10/1967,253
01/11/1967,325
01/12/1967,523
01/01/1968,524
01/02/1968,525
01/03/1968,561
01/04/1968,398
01/05/1968,271
01/06/1968,242
01/07/1968,240
01/08/1968,231
01/09/1968,252
01/10/1968,268
01/11/1968,285
01/12/1968,423
01/01/1969,601
01/02/1969,672
01/03/1969,587
01/04/1969,588
01/05/1969,443
01/06/1969,269
01/07/1969,235
01/08/1969,229
01/09/1969,222
01/10/1969,275
01/11/1969,305
01/01/1970,482
01/02/1970,493
01/03/1970,719
01/04/1970,668
01/05/1970,514
01/06/1970,303
01/07/1970,265
01/08/1970,235
01/09/1970,246
01/10/1970,297
01/11/1970,297
01/12/1970,342
01/01/1971,436
01/02/1971,873
01/03/1971,640
01/04/1971,823
01/05/1971,482
01/06/1971,303
01/07/1971,279
01/08/1971,251
01/09/1971,240
01/10/1971,274
01/11/1971,334
01/12/1971,378
01/01/1972,621
01/02/1972,955
01/03/1972,771
01/04/1972,563
01/05/1972,474
01/06/1972,324
01/07/1972,281
01/08/1972,269
01/09/1972,274
01/10/1972,265
01/11/1972,330
01/12/1972,607
01/01/1973,627
01/02/1973,848
01/03/1973,716
01/04/1973,680
01/05/1973,376
01/06/1973,352
01/07/1973,310
01/08/1973,288
01/09/1973,263
01/10/1973,286
01/11/1973,482
01/12/1973,488
01/01/1974,567
01/02/1974,876
01/03/1974,766
01/04/1974,864
01/05/1974,409
01/06/1974,361
01/07/1974,310
01/08/1974,293
01/09/1974,265
01/10/1974,385
01/11/1974,402
01/12/1974,630
01/01/1975,580
01/02/1975,860
01/03/1975,950
01/04/1975,638
01/05/1975,564
01/06/1975,390
01/07/1975,407
01/08/1975,330
01/09/1975,324
01/10/1975,306
01/11/1975,345
01/12/1975,420
01/01/1976,689
01/02/1976,907
01/03/1976,943
01/04/1976,699
01/05/1976,387
01/06/1976,354
01/07/1976,311
01/08/1976,292
01/09/1976,291
01/10/1976,325
01/11/1976,349
01/12/1976,532
01/01/1977,679
01/02/1977,664
01/03/1977,728
01/04/1977,564
01/05/1977,569
01/06/1977,352
01/07/1977,338
01/08/1977,316
01/09/1977,316
01/10/1977,362
01/11/1977,558
01/12/1977,614
01/01/1978,650
01/02/1978,716
01/03/1978,868
01/04/1978,956
01/05/1978,571
01/06/1978,430
01/07/1978,355
01/08/1978,320
01/09/1978,337
01/10/1978,381
01/11/1978,526
01/12/1978,1017
01/01/1979,767
01/02/1979,722
01/03/1979,974
01/04/1979,754
01/05/1979,597
01/06/1979,385
01/07/1979,365
01/08/1979,357
01/09/1979,363
01/10/1979,377
01/11/1979,493
01/12/1979,535
01/01/1980,550
01/02/1980,556
01/03/1980,653
01/04/1980,505
01/05/1980,419
01/06/1980,346
01/07/1980,319
01/08/1980,327
01/09/1980,318
01/10/1980,374
01/11/1980,383
01/12/1980,411
01/01/1981,580
01/02/1981,788
01/03/1981,825
01/04/1981,756
01/05/1981,517
01/06/1981,494
01/07/1981,358
01/08/1981,346
01/09/1981,326
01/10/1981,353
01/11/1981,414
01/12/1981,516
01/01/1982,677
01/02/1982,780
01/03/1982,682
01/04/1982,664
01/05/1982,416
01/06/1982,356
01/07/1982,334
01/08/1982,330
01/09/1982,355
01/10/1982,386
01/11/1982,518
01/12/1982,595
01/01/1983,572
01/02/1983,559
01/03/1983,723
01/04/1983,463
01/05/1983,425
01/06/1983,399
01/07/1983,308
01/08/1983,293
01/10/1983,297
01/11/1983,415
01/12/1983,492
01/01/1984,671
01/02/1984,898
01/03/1984,949
01/04/1984,969
01/05/1984,475
01/06/1984,360
01/07/1984,320
01/08/1984,298
01/09/1984,317
01/10/1984,358
01/11/1984,574
01/12/1984,846
01/01/1985,917
01/02/1985,747
01/03/1985,551
01/04/1985,605
01/05/1985,465
01/06/1985,466
01/07/1985,467
01/08/1985,284
01/09/1985,369
01/10/1985,474
01/11/1985,404
01/12/1985,405
01/01/1986,406
01/02/1986,1164
01/03/1986,853
01/04/1986,854
01/10/1986,855
01/11/1986,447
01/12/1986,582
01/01/1987,733
01/02/1987,622
01/03/1987,620
01/04/1987,621
01/05/1987,524
01/06/1987,371
01/07/1987,306
01/08/1987,288
01/09/1987,233
01/10/1987,363
01/11/1987,552
01/12/1987,662
01/01/1988,581
01/02/1988,1023
01/03/1988,866
01/04/1988,956
01/05/1988,522
01/06/1988,410
01/07/1988,350
01/08/1988,329
01/09/1988,332
01/10/1988,336
01/11/1988,352
01/12/1988,560
01/01/1989,828
01/02/1989,774
01/03/1989,672
01/04/1989,703
01/05/1989,485
01/06/1989,370
01/07/1989,331
01/08/1989,329
01/12/1990,330
01/01/1991,917
01/02/1991,855
01/03/1991,775
01/04/1991,632
01/06/1991,633
01/07/1991,320
01/08/1991,308
01/09/1991,294
01/10/1991,352
01/11/1991,414
01/12/1991,502
01/01/1992,599
01/02/1992,585
01/03/1992,700
01/04/1992,699
01/05/1992,410
01/06/1992,338
01/07/1992,314
01/08/1992,299
01/09/1992,382
01/10/1992,383
01/11/1992,384
01/12/1992,660
01/01/1993,735
01/02/1993,706
01/03/1993,869
01/04/1993,724
01/05/1993,528
01/06/1993,408
01/07/1993,308
01/08/1993,299
01/09/1993,293
01/10/1993,340
01/11/1993,341
01/04/1994,342
01/05/1994,343
01/07/1994,344
01/08/1994,307
01/10/1994,308
01/11/1994,483
01/06/1995,386
01/07/1995,303
01/08/1995,292
01/12/1995,293
01/01/1996,523
01/02/1996,704
01/03/1996,687
01/04/1996,648
01/05/1996,465
01/06/1996,358
01/07/1996,259
01/08/1996,278
01/09/1996,268
01/10/1996,292
01/11/1996,415
01/12/1996,496
01/01/1997,526
01/02/1997,910
01/03/1997,1128
01/04/1997,680
01/05/1997,680
01/06/1997,680
01/07/1997,298
01/08/1997,287
01/09/1997,282
01/10/1997,282
01/11/1997,359
01/12/1997,317
01/01/1998,533
01/02/1998,530
01/03/1998,725
01/04/1998,485
01/05/1998,371
01/06/1998,317
01/07/1998,255
01/08/1998,245
01/09/1998,243
01/10/1998,320
01/11/1998,550
01/12/1998,700
01/01/1999,919
01/02/1999,846
01/03/1999,628
01/04/1999,617
01/05/1999,553
01/06/1999,415
01/07/1999,343
01/08/1999,265
01/09/1999,282
01/10/1999,284
01/11/1999,438
01/12/1999,759
01/01/2000,546
01/02/2000,543
01/03/2000,604
01/04/2000,455
01/05/2000,378
01/06/2000,327
01/07/2000,280
01/09/2000,254
01/10/2000,332
01/11/2000,424
01/12/2000,316
01/01/2001,629
01/02/2001,563
01/03/2001,847
01/04/2001,515
01/05/2001,358
01/06/2001,326
01/07/2001,281
01/08/2001,262
01/09/2001,255
01/10/2001,329
01/11/2001,493
01/12/2001,682
01/01/2002,741
01/02/2002,805
01/03/2002,706
01/04/2002,616
01/05/2002,506
01/06/2002,370
01/07/2002,311
01/08/2002,301
01/09/2002,285
01/10/2002,322
01/11/2002,346
01/12/2002,484
01/01/2003,649
01/02/2003,671
01/03/2003,713
01/04/2003,596
01/05/2003,373
01/06/2003,324
01/07/2003,284
01/08/2003,272
01/09/2003,280
01/10/2003,427
01/11/2003,433
01/12/2003,384
01/01/2004,744
01/02/2004,801
01/03/2004,560
01/04/2004,479
01/05/2004,321
01/06/2004,268
01/07/2004,280
01/08/2004,259
01/09/2004,259
01/10/2004,271
01/11/2004,395
01/12/2004,476
01/01/2005,446
01/02/2005,712
01/03/2005,443
01/04/2005,422
01/05/2005,284
01/06/2005,249
01/07/2005,235
01/08/2005,222
01/09/2005,220
01/10/2005,279
01/11/2005,417
01/12/2005,501
01/01/2006,590
01/02/2006,915
01/03/2006,511
01/04/2006,541
01/05/2006,277
01/06/2006,279
01/07/2006,234
01/08/2006,236
01/09/2006,235
01/10/2006,297
01/11/2006,402
01/12/2006,497
01/01/2007,546
01/02/2007,675
01/03/2007,674
01/04/2007,501
01/05/2007,429
01/06/2007,287
01/07/2007,234
01/08/2007,214
01/09/2007,230
01/10/2007,267
01/11/2007,364
01/12/2007,434
01/01/2008,456
01/02/2008,696
01/03/2008,540
01/04/2008,648
01/05/2008,282
01/06/2008,254
01/07/2008,232
01/08/2008,226
01/09/2008,224
01/10/2008,256
01/11/2008,382
01/12/2008,526
01/01/2009,648
01/02/2009,593
01/03/2009,911
01/04/2009,881
01/05/2009,641
01/06/2009,440
01/07/2009,350
01/08/2009,296
01/09/2009,296
01/10/2009,301
01/11/2009,339
01/12/2009,602
01/01/2010,640
01/02/2010,673
01/03/2010,643
01/04/2010,555
01/05/2010,389
01/06/2010,279
01/07/2010,259
01/08/2010,233
01/09/1967,239
01/10/1967,253
01/11/1967,325
01/12/1967,523
01/01/1968,523
01/02/1968,523
01/03/1968,561
01/04/1968,398
01/05/1968,271
01/06/1968,242
01/07/1968,240
01/08/1968,231
01/09/1968,252
01/10/1968,268
01/11/1968,285
01/12/1968,423
01/01/1969,601
01/02/1969,672
01/03/1969,587
01/04/1969,588
01/05/1969,443
01/06/1969,269
01/07/1969,235
01/08/1969,229
01/09/1969,222
01/10/1969,275
01/11/1969,305
01/01/1970,482
01/02/1970,493
01/03/1970,719
01/04/1970,668
01/05/1970,514
01/06/1970,303
01/07/1970,265
01/08/1970,235
01/09/1970,246
01/10/1970,297
01/11/1970,297
01/12/1970,342
01/01/1971,436
01/02/1971,873
01/03/1971,640
01/04/1971,823
01/05/1971,482
01/06/1971,303
01/07/1971,279
01/08/1971,251
01/09/1971,240
01/10/1971,274
01/11/1971,334
01/12/1971,378
01/01/1972,621
01/02/1972,955
01/03/1972,771
01/04/1972,563
01/05/1972,474
01/06/1972,324
01/07/1972,281
01/08/1972,269
01/09/1972,274
01/10/1972,265
01/11/1972,330
01/12/1972,607
01/01/1973,627
01/02/1973,848
01/03/1973,716
01/04/1973,680
01/05/1973,376
01/06/1973,352
01/07/1973,310
01/08/1973,288
01/09/1973,263
01/10/1973,286
01/11/1973,482
01/12/1973,488
01/01/1974,567
01/02/1974,876
01/03/1974,766
01/04/1974,864
01/05/1974,409
01/06/1974,361
01/07/1974,310
01/08/1974,293
01/09/1974,265
01/10/1974,385
01/11/1974,402
01/12/1974,630
01/01/1975,580
01/02/1975,860
01/03/1975,950
01/04/1975,638
01/05/1975,564
01/06/1975,390
01/07/1975,407
01/08/1975,330
01/09/1975,324
01/10/1975,306
01/11/1975,345
01/12/1975,420
01/01/1976,689
01/02/1976,907
01/03/1976,943
01/04/1976,699
01/05/1976,387
01/06/1976,354
01/07/1976,311
01/08/1976,292
01/09/1976,291
01/10/1976,325
01/11/1976,349
01/12/1976,532
01/01/1977,679
01/02/1977,664
01/03/1977,728
01/04/1977,564
01/05/1977,569
01/06/1977,352
01/07/1977,338
01/08/1977,316
01/09/1977,316
01/10/1977,362
01/11/1977,558
01/12/1977,614
01/01/1978,650
01/02/1978,716
01/03/1978,868
01/04/1978,956
01/05/1978,571
01/06/1978,430
01/07/1978,355
01/08/1978,320
01/09/1978,337
01/10/1978,381
01/11/1978,526
01/12/1978,1017
01/01/1979,767
01/02/1979,722
01/03/1979,974
01/04/1979,754
01/05/1979,597
01/06/1979,385
01/07/1979,365
01/08/1979,357
01/09/1979,363
01/10/1979,377
01/11/1979,493
01/12/1979,535
01/01/1980,550
01/02/1980,556
01/03/1980,653
01/04/1980,505
01/05/1980,419
01/06/1980,346
01/07/1980,319
01/08/1980,327
01/09/1980,318
01/10/1980,374
01/11/1980,383
01/12/1980,411
01/01/1981,580
01/02/1981,788
01/03/1981,825
01/04/1981,756
01/05/1981,517
01/06/1981,494
01/07/1981,358
01/08/1981,346
01/09/1981,326
01/10/1981,353
01/11/1981,414
01/12/1981,516
01/01/1982,677
01/02/1982,780
01/03/1982,682
01/04/1982,664
01/05/1982,416
01/06/1982,356
01/07/1982,334
01/08/1982,330
01/09/1982,355
01/10/1982,386
01/11/1982,518
01/12/1982,595
01/01/1983,572
01/02/1983,559
01/03/1983,723
01/04/1983,463
01/05/1983,425
01/06/1983,399
01/07/1983,308
01/08/1983,293
01/09/1983,323
01/10/1983,297
01/11/1983,415
01/12/1983,492
01/01/1984,671
01/02/1984,898
01/03/1984,949
01/04/1984,969
01/05/1984,475
01/06/1984,360
01/07/1984,320
01/08/1984,298
01/09/1984,317
01/10/1984,358
01/11/1984,574
01/12/1984,846
01/01/1985,917
01/02/1985,747
01/03/1985,551
01/04/1985,605
01/05/1985,465
01/06/1985,591
01/07/1985,591
01/08/1985,284
01/09/1985,369
01/10/1985,474
01/11/1985,404
01/12/1985,404
01/01/1986,404
01/02/1986,1164
01/03/1986,853
01/04/1986,853
01/07/1986,853
01/08/1986,578
01/09/1986,687
01/10/1986,687
01/11/1986,447
01/12/1986,582
01/01/1987,733
01/02/1987,622
01/03/1987,620
01/04/1987,621
01/05/1987,524
01/06/1987,371
01/07/1987,306
01/08/1987,286
01/09/1987,233
01/10/1987,363
01/11/1987,552
01/12/1987,662
01/01/1988,581
01/02/1988,1023
01/03/1988,866
01/04/1988,956
01/05/1988,522
01/06/1988,410
01/07/1988,350
01/08/1988,329
01/09/1988,332
01/10/1988,336
01/11/1988,352
01/12/1988,560
01/01/1989,828
01/02/1989,774
01/03/1989,672
01/04/1989,703
01/05/1989,485
01/06/1989,370
01/07/1989,331
01/08/1989,329
01/12/1990,329
01/01/1991,917
01/02/1991,855
01/03/1991,775
01/04/1991,632
01/06/1991,632
01/07/1991,320
01/08/1991,308
01/09/1991,294
01/10/1991,352
01/11/1991,414
01/12/1991,502
01/01/1992,599
01/02/1992,585
01/03/1992,700
01/04/1992,699
01/05/1992,699
01/06/1992,338
01/07/1992,338
01/08/1992,338
01/09/1992,400
01/10/1992,400
01/11/1992,400
01/12/1992,660
01/01/1993,660
01/02/1993,706
01/03/1993,869
01/04/1993,724
01/05/1993,528
01/06/1993,408
01/07/1993,408
01/09/1993,408
01/10/1993,340
01/11/1993,340
01/04/1994,340
01/05/1994,340
01/07/1994,340
01/08/1994,307
01/10/1994,307
01/11/1994,483
01/06/1995,386
01/07/1995,303
01/08/1995,292
01/12/1995,292
01/01/1996,523
01/02/1996,704
01/03/1996,687
01/04/1996,648
01/05/1996,465
01/06/1996,358
01/07/1996,259
01/08/1996,278
01/09/1996,268
01/10/1996,292
01/11/1996,415
01/12/1996,496
01/01/1997,526
01/02/1997,910
01/03/1997,1128
01/04/1997,680
01/05/1997,680
01/06/1997,680
01/07/1997,298
01/08/1997,287
01/09/1997,282
01/10/1997,282
01/11/1997,359
01/12/1997,317
01/01/1998,533
01/02/1998,530
01/03/1998,725
01/04/1998,485
01/05/1998,371
01/06/1998,317
01/07/1998,255
01/08/1998,245
01/09/1998,243
01/10/1998,320
01/11/1998,550
01/12/1998,700
01/01/1999,919
01/02/1999,846
01/03/1999,628
01/04/1999,617
01/05/1999,553
01/06/1999,415
01/07/1999,343
01/08/1999,265
01/09/1999,282
01/10/1999,284
01/11/1999,438
01/12/1999,760
01/01/2000,546
01/02/2000,544
01/03/2000,605
01/04/2000,455
01/05/2000,379
01/06/2000,327
01/07/2000,280
01/09/2000,253
01/10/2000,331
01/11/2000,424
01/12/2000,316
01/01/2001,629
01/02/2001,563
01/03/2001,846
01/04/2001,514
01/05/2001,358
01/06/2001,326
01/07/2001,281
01/08/2001,262
01/09/2001,255
01/10/2001,329
01/11/2001,493
01/12/2001,682
01/01/2002,741
01/02/2002,805
01/03/2002,705
01/04/2002,616
01/05/2002,505
01/06/2002,370
01/07/2002,311
01/08/2002,301
01/09/2002,285
01/10/2002,322
01/11/2002,346
01/12/2002,484
01/01/2003,649
01/02/2003,671
01/03/2003,713
01/04/2003,595
01/05/2003,373
01/06/2003,324
01/07/2003,284
01/08/2003,272
01/09/2003,280
01/10/2003,427
01/11/2003,433
01/12/2003,384
01/01/2004,744
01/02/2004,801
01/03/2004,560
01/04/2004,479
01/05/2004,321
01/06/2004,268
01/07/2004,280
01/08/2004,259
01/09/2004,259
01/10/2004,271
01/11/2004,395
01/12/2004,476
01/01/2005,446
01/02/2005,712
01/03/2005,443
01/04/2005,422
01/05/2005,284
01/06/2005,248
01/07/2005,235
01/08/2005,222
01/09/2005,220
01/10/2005,279
01/11/2005,417
01/12/2005,501
01/01/2006,590
01/02/2006,915
01/03/2006,511
01/04/2006,541
01/05/2006,277
01/06/2006,279
01/07/2006,234
01/08/2006,236
01/09/2006,235
01/10/2006,297
01/11/2006,402
01/12/2006,497
01/01/2007,546
01/02/2007,675
01/03/2007,674
01/04/2007,501
01/05/2007,429
01/06/2007,287
01/07/2007,234
01/08/2007,214
01/09/2007,230
01/10/2007,267
01/11/2007,364
01/12/2007,434
01/01/2008,456
01/02/2008,696
01/03/2008,540
01/04/2008,648
01/05/2008,282
01/06/2008,254
01/07/2008,232
01/08/2008,226
01/09/2008,224
01/10/2008,256
01/11/2008,382
01/12/2008,526
01/01/2009,648
01/02/2009,593
01/03/2009,911
01/04/2009,881
01/05/2009,641
01/06/2009,441
01/07/2009,350
01/08/2009,296
01/09/2009,296
01/10/2009,301
01/11/2009,339
01/12/2009,602
01/01/2010,640
01/02/2010,673
01/03/2010,643
01/04/2010,555
01/05/2010,389
01/06/2010,279
01/07/2010,259
01/08/2010,233
01/09/2010,249
01/10/2010,267
01/11/2010,288
01/12/2010,326
01/01/2011,401
01/02/2011,628
01/03/2011,599
01/04/2011,870
01/05/2011,428
01/06/2011,273
01/07/2011,221
01/08/2011,222
01/09/2011,233
01/10/2011,261
01/11/2011,442
01/12/2011,537
01/01/2012,910
01/02/2012,1092
01/03/2012,868
01/04/2012,581
01/05/2012,533
01/06/2012,355
01/07/2012,287
01/08/2012,261
01/09/2012,257
01/10/2012,367
01/11/2012,483
01/12/2012,479
01/01/2013,706
01/02/2013,732
01/03/2013,894
01/04/2013,508
01/05/2013,392
01/06/2013,392
01/07/2013,276
01/08/2013,268
01/09/2013,256
01/10/2013,311
01/11/2013,430
01/12/2013,553
01/01/2014,635
01/06/2014,635
01/07/2014,290
01/08/2014,294
01/09/2014,302
01/10/2014,298
01/11/2014,435
01/12/2014,598
01/01/2015,598
01/02/2015,598
01/03/2015,598
01/04/2015,598
01/05/2015,598
01/06/2015,598
01/07/2015,274
01/08/2015,234
01/09/2015,223
01/10/2015,218
01/11/2015,273
01/12/2015,305
01/01/2016,450
01/02/2016,646
